"country","noc","cov","diff","diffpc"
"PNG","71,287 (95%[47,026, 111,024])","67,125 (95%[43,938, 104,856])","4,162 (95%[2,661, 6,959])","6 (95%[5, 9])"
"PRK","87,303 (95%[71,966, 103,843])","81,803 (95%[67,062, 97,585])","5,500 (95%[4,626, 6,512])","7 (95%[6, 8])"
"PRY","18,296 (95%[16,453, 20,546])","15,549 (95%[13,945, 17,336])","2,747 (95%[2,462, 3,104])","18 (95%[16, 19])"
"PSE","21,593 (95%[17,147, 28,426])","21,711 (95%[17,263, 28,543])","-118 (95%[-136, -101])","-1 (95%[-1, 0])"
"RWA","167,466 (95%[149,948, 191,027])","160,443 (95%[143,664, 182,954])","7,023 (95%[6,179, 8,166])","4 (95%[4, 5])"
"SDN","497,890 (95%[439,550, 563,529])","488,090 (95%[430,049, 552,137])","9,799 (95%[7,569, 12,620])","2 (95%[2, 3])"
"SEN","246,525 (95%[210,525, 288,128])","230,219 (95%[197,814, 271,521])","16,306 (95%[12,059, 23,162])","7 (95%[5, 9])"
"SLB","7,664 (95%[6,017, 10,210])","7,562 (95%[5,922, 10,068])","102 (95%[67, 236])","1 (95%[1, 3])"
"SLE","168,393 (95%[141,766, 202,295])","166,571 (95%[140,206, 199,873])","1,822 (95%[1,349, 2,762])","1 (95%[1, 2])"
"SLV","10,666 (95%[9,485, 11,743])","10,442 (95%[9,292, 11,503])","224 (95%[183, 267])","2 (95%[2, 2])"
"SOM","305,466 (95%[244,481, 361,164])","304,334 (95%[243,521, 359,968])","1,132 (95%[890, 1,388])","0 (95%[0, 0])"
"SRB","7,608 (95%[6,680, 8,914])","7,431 (95%[6,505, 8,723])","177 (95%[160, 198])","2 (95%[2, 3])"
"SSD","220,866 (95%[181,646, 263,033])","219,556 (95%[180,422, 261,674])","1,310 (95%[1,155, 1,476])","1 (95%[1, 1])"
"STP","5,741 (95%[2,059, 26,781])","5,660 (95%[1,997, 26,610])","81 (95%[57, 171])","2 (95%[1, 3])"
"SWZ","16,094 (95%[14,423, 17,617])","15,726 (95%[14,098, 17,215])","368 (95%[310, 416])","2 (95%[2, 3])"
"SYR","57,253 (95%[46,725, 71,149])","54,810 (95%[44,876, 67,983])","2,443 (95%[1,868, 3,244])","4 (95%[4, 5])"
"TCD","429,378 (95%[353,979, 509,950])","429,843 (95%[354,372, 510,769])","-465 (95%[-818, -290])","0 (95%[0, 0])"
"TGO","145,683 (95%[127,775, 166,266])","142,147 (95%[124,451, 162,107])","3,536 (95%[2,879, 4,140])","2 (95%[2, 3])"
"THA","129,430 (95%[110,855, 150,785])","119,582 (95%[100,936, 141,119])","9,849 (95%[9,033, 10,782])","8 (95%[7, 10])"
"TJK","43,735 (95%[34,772, 53,385])","42,874 (95%[33,599, 52,829])","861 (95%[278, 2,054])","2 (95%[1, 5])"
"TKM","40,955 (95%[35,976, 48,126])","41,235 (95%[36,248, 48,443])","-280 (95%[-317, -246])","-1 (95%[-1, -1])"
"TLS","8,426 (95%[6,838, 10,031])","8,351 (95%[6,760, 9,954])","76 (95%[66, 87])","1 (95%[1, 1])"
"TON","728 (95%[582, 870])","727 (95%[581, 869])","1 (95%[1, 1])","0 (95%[0, 0])"
"TUN","22,026 (95%[19,337, 24,549])","21,922 (95%[19,242, 24,407])","104 (95%[85, 131])","0 (95%[0, 1])"
"TUV","56 (95%[47, 65])","56 (95%[47, 65])","0 (95%[0, 0])","0 (95%[0, 0])"
"TZA","1,092,465 (95%[990,229, 1,185,181])","1,060,316 (95%[961,581, 1,150,428])","32,149 (95%[28,061, 36,048])","3 (95%[3, 3])"
"UGA","978,117 (95%[849,195, 1,081,488])","938,345 (95%[817,515, 1,040,665])","39,772 (95%[30,917, 48,377])","4 (95%[3, 5])"
"UKR","32,952 (95%[28,579, 38,357])","31,975 (95%[27,883, 37,068])","978 (95%[749, 1,296])","3 (95%[3, 4])"
"UZB","122,372 (95%[98,282, 150,601])","118,605 (95%[95,385, 146,695])","3,767 (95%[2,742, 5,784])","3 (95%[2, 5])"
"VEN","61,055 (95%[53,651, 71,265])","60,127 (95%[52,347, 70,498])","927 (95%[-204, 1,946])","2 (95%[0, 3])"
"VNM","270,176 (95%[225,772, 319,172])","261,175 (95%[218,129, 308,046])","9,000 (95%[7,113, 10,973])","3 (95%[3, 4])"
"VUT","2,477 (95%[1,932, 3,323])","2,323 (95%[1,804, 3,166])","155 (95%[120, 205])","7 (95%[5, 8])"
"WSM","1,230 (95%[929, 1,776])","1,225 (95%[924, 1,772])","5 (95%[4, 6])","0 (95%[0, 1])"
"XK","2,821 (95%[2,386, 3,227])","2,759 (95%[2,330, 3,161])","62 (95%[52, 70])","2 (95%[2, 3])"
"YEM","175,142 (95%[136,530, 264,518])","173,737 (95%[136,100, 258,086])","1,405 (95%[-485, 5,887])","1 (95%[0, 3])"
"ZAF","334,843 (95%[298,428, 374,335])","306,371 (95%[271,412, 344,378])","28,471 (95%[25,851, 31,250])","9 (95%[8, 11])"
"ZMB","436,537 (95%[397,146, 483,761])","411,676 (95%[373,444, 457,214])","24,861 (95%[22,085, 27,784])","6 (95%[5, 7])"
"ZWE","267,874 (95%[244,278, 293,411])","264,186 (95%[241,050, 289,609])","3,688 (95%[3,197, 4,222])","1 (95%[1, 2])"
